"","word","freq"
"1","a a",232
"2","a about",53
"3","a and",365
"4","a b",228
"5","a baby",421
"6","a back",174
"7","a bad",1301
"8","a bag",211
"9","a balanced",80
"10","a ball",227
"11","a band",210
"12","a bank",164
"13","a bar",258
"14","a baseball",184
"15","a basketball",93
"16","a battle",116
"17","a beach",17
"18","a beast",135
"19","a beat",64
"20","a beautiful",1013
"21","a bed",136
"22","a best",123
"23","a better",1449
"24","a bid",38
"25","a big",3165
"26","a bigger",262
"27","a bike",186
"28","a bill",414
"29","a billion",317
"30","a birthday",159
"31","a bit",2123
"32","a black",483
"33","a blast",557
"34","a blessed",127
"35","a blessing",119
"36","a block",127
"37","a blog",185
"38","a blue",141
"39","a board",133
"40","a body",86
"41","a bomb",82
"42","a book",646
"43","a boss",140
"44","a bottle",254
"45","a bowl",205
"46","a box",197
"47","a boy",296
"48","a brain",19
"49","a brand",218
"50","a break",496
"51","a breakfast",17
"52","a brick",18
"53","a bridge",90
"54","a brief",226
"55","a bright",109
"56","a brilliant",117
"57","a british",57
"58","a broad",92
"59","a broken",227
"60","a budget",222
"61","a building",155
"62","a bunch",685
"63","a burger",35
"64","a bus",192
"65","a business",496
"66","a busy",221
"67","a but",35
"68","a c",157
"69","a call",546
"70","a campaign",195
"71","a can",83
"72","a candidate",168
"73","a car",913
"74","a career",434
"75","a case",388
"76","a cat",170
"77","a celebrity",19
"78","a century",128
"79","a certain",456
"80","a challenge",249
"81","a championship",145
"82","a chance",1739
"83","a change",353
"84","a character",103
"85","a charge",112
"86","a cheap",17
"87","a check",175
"88","a chicago",38
"89","a chicken",57
"90","a child",679
"91","a choice",206
"92","a christmas",81
"93","a church",113
"94","a city",484
"95","a class",281
"96","a classic",221
"97","a clean",167
"98","a clear",266
"99","a cleveland",58
"100","a client",151
"101","a close",304
"102","a club",129
"103","a co",162
"104","a coach",174
"105","a coffee",126
"106","a cold",275
"107","a college",244
"108","a combination",186
"109","a combined",149
"110","a comment",85
"111","a commercial",178
"112","a common",184
"113","a community",307
"114","a company",391
"115","a complete",279
"116","a compliment",61
"117","a comprehensive",59
"118","a compromise",65
"119","a computer",240
"120","a concept",17
"121","a concert",149
"122","a conference",267
"123","a constitutional",17
"124","a contract",229
"125","a conversation",193
"126","a cool",313
"127","a cop",65
"128","a copy",316
"129","a country",206
"130","a county",126
"131","a couple",2185
"132","a court",221
"133","a cover",101
"134","a crazy",229
"135","a credit",137
"136","a crime",228
"137","a criminal",159
"138","a crisis",19
"139","a critical",131
"140","a cross",90
"141","a crowd",172
"142","a crucial",42
"143","a crush",78
"144","a cup",216
"145","a customer",138
"146","a cut",61
"147","a cute",156
"148","a d",168
"149","a daily",167
"150","a dance",142
"151","a dangerous",102
"152","a dark",189
"153","a date",287
"154","a day",2190
"155","a dead",153
"156","a deal",568
"157","a decade",554
"158","a decent",179
"159","a decision",370
"160","a deep",292
"161","a defensive",72
"162","a degree",174
"163","a democrat",198
"164","a difference",453
"165","a different",1001
"166","a difficult",169
"167","a dinner",98
"168","a direct",151
"169","a dirty",64
"170","a disaster",17
"171","a discount",94
"172","a district",96
"173","a dm",158
"174","a doctor",221
"175","a documentary",62
"176","a dog",349
"177","a dollar",133
"178","a donation",74
"179","a double",542
"180","a dozen",523
"181","a draft",37
"182","a dramatic",126
"183","a dream",551
"184","a drink",358
"185","a driver",61
"186","a drug",197
"187","a dude",76
"188","a era",171
"189","a fabulous",169
"190","a face",83
"191","a facebook",142
"192","a fact",115
"193","a factor",121
"194","a fair",231
"195","a fairly",18
"196","a fake",141
"197","a family",658
"198","a fan",732
"199","a fantastic",334
"200","a far",86
"201","a fast",138
"202","a father",84
"203","a favor",112
"204","a favorite",198
"205","a feature",70
"206","a federal",538
"207","a fee",61
"208","a feeling",223
"209","a fellow",137
"210","a female",188
"211","a few",5824
"212","a field",177
"213","a fifth",62
"214","a fight",285
"215","a film",214
"216","a final",274
"217","a financial",138
"218","a fine",366
"219","a fire",313
"220","a firm",78
"221","a first",623
"222","a fish",44
"223","a five",350
"224","a flight",159
"225","a follow",354
"226","a food",191
"227","a fool",164
"228","a foot",376
"229","a football",193
"230","a for",188
