"","word","freq"
"1","a bad day",43
"2","a bad thing",102
"3","a beautiful day",339
"4","a better job",19
"5","a better place",59
"6","a big deal",163
"7","a big fan",184
"8","a big part",19
"9","a bill that",119
"10","a bit more",139
"11","a bit of",488
"12","a bottle of",156
"13","a brand new",110
"14","a bunch of",606
"15","a career high",87
"16","a chance to",1012
"17","a change in",35
"18","a combination of",156
"19","a copy of",215
"20","a couple days",35
"21","a couple of",1228
"22","a cup of",118
"23","a daily basis",35
"24","a day after",62
"25","a day of",123
"26","a decade ago",136
"27","a fan of",318
"28","a federal judge",61
"29","a few days",454
"30","a few hours",293
"31","a few minutes",238
"32","a few months",232
"33","a few more",242
"34","a few of",224
"35","a few times",151
"36","a few weeks",331
"37","a few years",375
"38","a five year",133
"39","a follow back",120
"40","a form of",61
"41","a four year",64
"42","a friend of",109
"43","a full time",130
"44","a game of",42
"45","a glass of",160
"46","a good day",610
"47","a good idea",326
"48","a good job",197
"49","a good night",198
"50","a good one",351
"51","a good place",57
"52","a good start",21
"53","a good thing",381
"54","a good time",407
"55","a good way",187
"56","a graduate of",60
"57","a great day",1021
"58","a great deal",169
"59","a great game",36
"60","a great idea",101
"61","a great job",270
"62","a great night",193
"63","a great place",122
"64","a great show",152
"65","a great time",651
"66","a great way",219
"67","a great week",167
"68","a great weekend",594
"69","a group of",510
"70","a guy who",181
"71","a half dozen",72
"72","a handful of",351
"73","a hard time",167
"74","a heart attack",144
"75","a high school",189
"76","a kind of",160
"77","a lack of",202
"78","a letter to",163
"79","a link to",60
"80","a list of",283
"81","a little better",57
"82","a little bit",916
"83","a little more",450
"84","a little too",156
"85","a long day",206
"86","a long term",118
"87","a long time",819
"88","a long way",255
"89","a look at",255
"90","a lot about",139
"91","a lot better",122
"92","a lot more",404
"93","a lot of",5236
"94","a lot to",287
"95","a m and",176
"96","a m at",61
"97","a m on",141
"98","a m p",518
"99","a m to",668
"100","a majority of",121
"101","a man and",23
"102","a man of",20
"103","a man who",256
"104","a man with",17
"105","a matter of",409
"106","a member of",597
"107","a mix of",112
"108","a new one",161
"109","a new york",180
"110","a news conference",203
"111","a news release",137
"112","a number of",612
"113","a one year",107
"114","a pair of",534
"115","a part of",637
"116","a percent increase",112
"117","a person who",73
"118","a phone call",63
"119","a photo of",89
"120","a pic of",112
"121","a picture of",315
"122","a piece of",311
"123","a place to",158
"124","a place where",139
"125","a plan to",147
"126","a police officer",128
"127","a portion of",104
"128","a pretty good",185
"129","a problem with",102
"130","a range of",136
"131","a really good",216
"132","a reason to",124
"133","a result of",288
"134","a right to",66
"135","a run in",38
"136","a safe and",36
"137","a sense of",284
"138","a series of",553
"139","a shout out",203
"140","a sign of",135
"141","a spokesman for",376
"142","a spokeswoman for",162
"143","a square foot",163
"144","a state of",39
"145","a statement that",80
"146","a story about",35
"147","a string of",117
"148","a super bowl",57
"149","a team that",160
"150","a third of",139
"151","a three game",40
"152","a three year",62
"153","a time of",184
"154","a time when",297
"155","a ton of",248
"156","a total of",319
"157","a trip to",239
"158","a two run",123
"159","a two year",109
"160","a u s",259
"161","a variety of",461
