"","word","freq"
"1","a's",244
"2","aaa",117
"3","aaron",519
"4","abandon",110
"5","abandoned",319
"6","abbey",142
"7","abc",371
"8","abilities",144
"9","ability",1419
"10","able",4275
"11","aboard",236
"12","abortion",332
"13","about",54267
"14","above",1474
"15","abq",167
"16","abraham",182
"17","abroad",273
"18","abs",118
"19","absence",336
"20","absent",164
"21","absolute",234
"22","absolutely",1657
"23","absorb",100
"24","abt",399
"25","abuse",928
"26","abused",192
"27","abuses",74
"28","academic",670
"29","academy",856
"30","acc",88
"31","accent",283
"32","accents",80
"33","accept",861
"34","acceptable",229
"35","acceptance",172
"36","accepted",688
"37","accepting",310
"38","accepts",55
"39","access",1715
"40","accessible",264
"41","accessories",174
"42","accident",879
"43","accidental",94
"44","accidentally",258
"45","accidents",173
"46","accommodate",199
"47","accommodations",35
"48","accompanied",229
"49","accompanying",62
"50","accomplish",288
"51","accomplished",381
"52","accomplishment",155
"53","accomplishments",160
"54","accord",37
"55","according",5733
"56","account",2289
"57","accountability",237
"58","accountable",213
"59","accounted",106
"60","accounting",293
"61","accounts",736
"62","acct",89
"63","accurate",288
"64","accusations",167
"65","accused",906
"66","accusing",82
"67","ace",241
"68","achieve",466
"69","achieved",220
"70","achievement",337
"71","achievements",61
"72","achieving",136
"73","acid",176
"74","acknowledge",218
"75","acknowledged",535
"76","acl",146
"77","acoustic",201
"78","acquire",147
"79","acquired",290
"80","acquisition",213
"81","acquisitions",60
"82","acre",371
"83","acres",496
"84","across",3219
"85","act",2726
"86","acta",90
"87","acted",222
"88","acting",1141
"89","action",2445
"90","actions",770
"91","active",840
"92","actively",131
"93","activist",302
"94","activists",362
"95","activities",827
"96","activity",870
"97","actor",785
"98","actors",632
"99","actress",465
"100","acts",526
"101","actual",752
"102","actually",5211
"103","adam",865
"104","adams",825
"105","adaptation",111
"106","adapted",134
"107","add",3132
"108","added",3125
"109","addicted",323
"110","addiction",293
"111","adding",1464
"112","addition",1350
"113","additional",1337
"114","address",1649
"115","addressed",287
"116","addresses",178
"117","addressing",191
"118","adds",561
"119","adele",228
"120","adequate",170
"121","adjacent",160
"122","adjust",225
"123","adjusted",208
"124","adjustment",127
"125","adjustments",117
"126","admin",122
"127","administration",1631
"128","administration's",147
"129","administrative",361
"130","administrator",364
"131","administrators",322
"132","admire",155
"133","admission",553
"134","admit",669
"135","admits",187
"136","admitted",579
"137","admitting",83
"138","adopt",223
"139","adopted",402
"140","adoption",217
"141","adorable",419
"142","adore",89
"143","ads",714
"144","adult",877
"145","adults",905
"146","advance",876
"147","advanced",561
"148","advances",139
"149","advantage",1171
"150","advantages",73
"151","adventure",500
"152","adventures",262
"153","adversity",56
"154","advertising",682
"155","advice",1319
"156","advise",102
"157","advised",195
"158","adviser",189
